count,time,presortedPercentage,descending
10000,0.944257,0.000000,0
10000,0.993851,0.000000,0
10000,0.932630,0.000000,0
10000,0.906911,0.000000,0
10000,0.910317,0.000000,0
10000,0.970241,0.000000,0
10000,0.917364,0.000000,0
10000,0.929959,0.000000,0
10000,0.946673,0.000000,0
10000,0.919873,0.000000,0
10000,1.008790,0.000000,0
10000,1.507163,0.000000,0
10000,0.955964,0.000000,0
10000,0.925207,0.000000,0
10000,0.985855,0.000000,0
10000,0.879111,0.000000,0
10000,0.944257,0.000000,0
10000,0.936690,0.000000,0
10000,1.437235,0.000000,0
10000,0.901710,0.000000,0
10000,0.897916,0.000000,0
10000,1.108896,0.000000,0
10000,1.064911,0.000000,0
10000,1.330613,0.000000,0
10000,1.180323,0.000000,0
10000,0.944766,0.000000,0
10000,0.997307,0.000000,0
50000,5.381944,0.000000,0
50000,8.084316,0.000000,0
50000,5.366102,0.000000,0
50000,4.745147,0.000000,0
50000,4.907526,0.000000,0
50000,4.900127,0.000000,0
50000,4.997551,0.000000,0
50000,4.842427,0.000000,0
50000,4.722925,0.000000,0
50000,4.651660,0.000000,0
50000,4.707067,0.000000,0
50000,4.852095,0.000000,0
50000,4.649488,0.000000,0
50000,4.930771,0.000000,0
50000,4.716949,0.000000,0
50000,5.819541,0.000000,0
50000,6.086680,0.000000,0
50000,4.945336,0.000000,0
50000,5.800706,0.000000,0
50000,5.023699,0.000000,0
50000,7.512750,0.000000,0
50000,4.832657,0.000000,0
50000,5.540713,0.000000,0
50000,5.676808,0.000000,0
50000,4.597717,0.000000,0
50000,5.273880,0.000000,0
50000,4.642558,0.000000,0
50000,4.725699,0.000000,0
50000,4.927295,0.000000,0
50000,4.905634,0.000000,0
50000,5.268624,0.000000,0
50000,4.821525,0.000000,0
50000,5.223172,0.000000,0
50000,4.633089,0.000000,0
50000,4.943062,0.000000,0
50000,5.425826,0.000000,0
50000,6.376616,0.000000,0
50000,5.261999,0.000000,0
50000,5.397684,0.000000,0
50000,4.941706,0.000000,0
50000,4.656917,0.000000,0
50000,5.605483,0.000000,0
50000,5.325288,0.000000,0
50000,7.212160,0.000000,0
50000,4.939401,0.000000,0
50000,4.841203,0.000000,0
50000,4.980636,0.000000,0
50000,5.040658,0.000000,0
50000,5.213260,0.000000,0
50000,5.450359,0.000000,0
50000,5.168751,0.000000,0
50000,5.409774,0.000000,0
50000,5.697429,0.000000,0
50000,5.464769,0.000000,0
50000,4.606986,0.000000,0
50000,5.232687,0.000000,0
50000,4.500942,0.000000,0
50000,5.321637,0.000000,0
50000,5.767504,0.000000,0
50000,4.568733,0.000000,0
50000,5.542591,0.000000,0
50000,6.817076,0.000000,0
50000,4.674800,0.000000,0
50000,5.247236,0.000000,0
50000,4.866383,0.000000,0
50000,5.374587,0.000000,0
50000,5.345275,0.000000,0
50000,5.108384,0.000000,0
50000,5.628776,0.000000,0
50000,5.872134,0.000000,0
50000,4.866953,0.000000,0
50000,4.897293,0.000000,0
50000,6.173050,0.000000,0
50000,4.974868,0.000000,0
50000,4.974746,0.000000,0
50000,4.898143,0.000000,0
50000,4.745170,0.000000,0
50000,6.869747,0.000000,0
50000,4.911193,0.000000,0
50000,5.000784,0.000000,0
50000,6.032244,0.000000,0
50000,6.728502,0.000000,0
50000,5.747839,0.000000,0
50000,4.757606,0.000000,0
50000,5.109139,0.000000,0
50000,5.083933,0.000000,0
50000,7.330571,0.000000,0
50000,5.114299,0.000000,0
50000,4.719186,0.000000,0
50000,5.062258,0.000000,0
50000,4.870523,0.000000,0
50000,4.874959,0.000000,0
50000,4.722895,0.000000,0
50000,4.469855,0.000000,0
50000,4.774273,0.000000,0
50000,5.126190,0.000000,0
50000,4.661511,0.000000,0
50000,5.074792,0.000000,0
50000,4.733021,0.000000,0
50000,4.756893,0.000000,0
100000,10.549450,0.000000,0
100000,9.987437,0.000000,0
100000,9.178020,0.000000,0
100000,13.951156,0.000000,0
100000,10.824341,0.000000,0
100000,9.351191,0.000000,0
100000,10.296926,0.000000,0
100000,10.608622,0.000000,0
100000,11.476826,0.000000,0
100000,10.638599,0.000000,0
100000,9.669179,0.000000,0
100000,9.973267,0.000000,0
100000,9.989121,0.000000,0
100000,10.415902,0.000000,0
100000,9.995332,0.000000,0
100000,10.539316,0.000000,0
100000,9.198478,0.000000,0
100000,9.714316,0.000000,0
100000,10.086412,0.000000,0
100000,9.437573,0.000000,0
100000,14.163727,0.000000,0
100000,9.735656,0.000000,0
