count, mergeSort
50000,3.689400
100000,8.078900
500000,42.754600
1000000,87.124700
10000,0.681500
50000,3.998700
100000,8.299500
500000,42.546000
1000000,85.350700
10000,0.690400
50000,3.805700
100000,8.575400
500000,43.281600
1000000,85.983200
10000,0.689000
50000,3.735700
100000,7.974100
500000,43.100500
1000000,87.406100
10000,0.687700
50000,3.758300
100000,7.669300
500000,41.706600
1000000,85.057700
10000,0.846400
50000,4.264400
100000,7.594300
500000,41.502000
1000000,87.317700
10000,0.688700
50000,3.649100
100000,7.718300
500000,44.206600
1000000,86.499600
10000,1.045600
50000,3.633000
100000,8.534600
500000,43.432700
1000000,86.263300
10000,0.685500
50000,3.729200
100000,7.961800
500000,42.596900
1000000,86.351300
10000,0.683000
50000,3.774000
100000,7.690400
500000,43.108600
1000000,85.754300
10000,0.691100
50000,4.044900
100000,7.927400
500000,43.037300
1000000,90.424900
10000,0.691600
50000,4.106100
100000,7.570200
500000,43.692600
1000000,85.205600
10000,0.865800
50000,4.363700
100000,7.948200
500000,43.083800
1000000,89.895800
10000,0.681600
50000,3.724900
100000,7.707400
500000,43.419400
1000000,85.798400
10000,0.687300
50000,3.802200
100000,7.583700
500000,44.269300
1000000,87.712900
10000,0.690600
50000,3.723500
100000,7.965800
500000,42.167900
1000000,86.546900
10000,0.685000
50000,4.459000
100000,8.032600
500000,41.401800
1000000,86.389100
10000,0.682900
50000,3.666400
100000,8.260000
